Feedback,Score,Subject,Device,DateSubmitted
Social challenges is super accurate.,4,Love the tracking,Apple Watch,2023-10-10
The calorie tracker is constantly crashing.,2,Needs more workouts,Apple Watch,2023-10-28
Syncing with Apple Watch is totally broken.,2,Battery drain,Android,2023-10-27
The step counter works perfectly.,4,Sync Issue,iPhone,2023-10-20
Syncing with Apple Watch needs more options.,5,Battery drain,iPhone,2023-10-05
Heart rate monitor is very motivating.,4,Disappointing,Fitbit,2023-10-04
The new dashboard needs more options.,3,Feature Request,Apple Watch,2023-10-16
Social challenges drains battery fast.,2,Battery drain,Apple Watch,2023-10-27
Sleep tracking is my favorite feature.,5,Bug report,Apple Watch,2023-10-12
The calorie tracker needs more options.,5,Feature Request,Fitbit,2023-10-24
The new dashboard is confusing.,1,Needs more workouts,Android,2023-10-20
The new dashboard drains battery fast.,2,Battery drain,Apple Watch,2023-10-13
The new dashboard is confusing.,2,Feature Request,Garmin,2023-10-01
The step counter drains battery fast.,2,Disappointing,Garmin,2023-10-30
The new dashboard is my favorite feature.,4,Sync Issue,iPhone,2023-10-27
Pilates workouts is constantly crashing.,1,Great app,Fitbit,2023-10-11
The step counter works perfectly.,5,Needs more workouts,iPhone,2023-10-26
Social challenges works perfectly.,4,Needs more workouts,Garmin,2023-10-06
The calorie tracker is very motivating.,5,Battery drain,Fitbit,2023-10-15
Heart rate monitor works perfectly.,4,Fun rewards,Garmin,2023-10-18
Social challenges is confusing.,2,Needs more workouts,Android,2023-10-27
The step counter needs more options.,3,Fun rewards,Garmin,2023-10-19
Syncing with Apple Watch is my favorite feature.,4,Disappointing,Garmin,2023-10-05
The calorie tracker is constantly crashing.,2,Battery drain,Fitbit,2023-10-02
Pilates workouts fails every morning.,2,Needs more workouts,Fitbit,2023-10-02
GPS tracking is confusing.,2,Battery drain,Garmin,2023-10-14
The step counter is very motivating.,4,Needs more workouts,iPhone,2023-10-06
The new dashboard drains battery fast.,2,Sync Issue,iPhone,2023-10-10
GPS tracking is totally broken.,1,Disappointing,Garmin,2023-10-23
The step counter drains battery fast.,2,Disappointing,iPhone,2023-10-12
GPS tracking is totally broken.,1,Battery drain,iPhone,2023-10-04
Social challenges fails every morning.,2,Love the tracking,Fitbit,2023-10-03
The step counter is constantly crashing.,2,Needs more workouts,iPhone,2023-10-21
Sleep tracking is constantly crashing.,1,Bug report,Garmin,2023-10-14
The calorie tracker is constantly crashing.,1,Feature Request,Android,2023-10-17
Pilates workouts is totally broken.,2,Sync Issue,Android,2023-10-17
The calorie tracker is confusing.,1,Sync Issue,Android,2023-10-09
Pilates workouts is very motivating.,5,Sync Issue,Fitbit,2023-10-25
The step counter drains battery fast.,1,Disappointing,Garmin,2023-10-16
Sleep tracking drains battery fast.,1,Sync Issue,iPhone,2023-10-19
Social challenges is totally broken.,2,Highly recommend,Garmin,2023-10-01
The step counter fails every morning.,2,Bug report,Fitbit,2023-10-09
GPS tracking is my favorite feature.,4,Sync Issue,Apple Watch,2023-10-25
The step counter needs more options.,5,Great app,iPhone,2023-10-19
The calorie tracker needs more options.,4,Sync Issue,Android,2023-10-24
Social challenges works perfectly.,5,Battery drain,iPhone,2023-10-08
Social challenges works perfectly.,5,Great app,Apple Watch,2023-10-15
The step counter is my favorite feature.,4,Feature Request,Apple Watch,2023-10-10
Social challenges is confusing.,1,Fun rewards,Android,2023-10-27
Syncing with Apple Watch is my favorite feature.,4,Battery drain,Garmin,2023-10-23
Sleep tracking is confusing.,1,Battery drain,iPhone,2023-10-18
Sleep tracking is constantly crashing.,1,Love the tracking,Apple Watch,2023-10-04
The new dashboard is my favorite feature.,4,Sync Issue,Garmin,2023-10-09
Syncing with Apple Watch is my favorite feature.,4,Fun rewards,Fitbit,2023-10-04
The new dashboard is very motivating.,4,Fun rewards,iPhone,2023-10-23
Heart rate monitor is confusing.,2,Sync Issue,Apple Watch,2023-10-06
The new dashboard is very motivating.,5,Highly recommend,Garmin,2023-10-07
Syncing with Apple Watch is very motivating.,5,Fun rewards,Fitbit,2023-10-21
GPS tracking is constantly crashing.,2,Great app,Fitbit,2023-10-27
GPS tracking drains battery fast.,1,Bug report,Android,2023-10-24
The new dashboard is my favorite feature.,4,Great app,Android,2023-10-17
Social challenges is super accurate.,4,Fun rewards,iPhone,2023-10-13
Heart rate monitor fails every morning.,1,Bug report,iPhone,2023-10-24
Social challenges is very motivating.,4,Fun rewards,iPhone,2023-10-21
The new dashboard is very motivating.,5,Feature Request,Garmin,2023-10-23
Syncing with Apple Watch is very motivating.,4,Sync Issue,Garmin,2023-10-12
GPS tracking drains battery fast.,1,Disappointing,Apple Watch,2023-10-07
The step counter works perfectly.,5,Sync Issue,Garmin,2023-10-12
Water logging is super accurate.,5,Bug report,Apple Watch,2023-10-08
GPS tracking needs more options.,4,Fun rewards,Android,2023-10-18
GPS tracking fails every morning.,2,Fun rewards,Fitbit,2023-10-12
Syncing with Apple Watch is totally broken.,2,Needs more workouts,Fitbit,2023-10-01
Sleep tracking is constantly crashing.,2,Highly recommend,Fitbit,2023-10-19
GPS tracking is very motivating.,5,Battery drain,Fitbit,2023-10-23
Heart rate monitor is very motivating.,5,Disappointing,Fitbit,2023-10-30
Sleep tracking is confusing.,2,Battery drain,Fitbit,2023-10-08
Social challenges fails every morning.,2,Sync Issue,Apple Watch,2023-10-07
Sleep tracking fails every morning.,2,Great app,Fitbit,2023-10-20
Heart rate monitor drains battery fast.,1,Bug report,Android,2023-10-11
Sleep tracking is my favorite feature.,4,Bug report,iPhone,2023-10-11
Water logging is my favorite feature.,4,Fun rewards,iPhone,2023-10-20
Sleep tracking is confusing.,1,Battery drain,Fitbit,2023-10-22
The step counter drains battery fast.,2,Feature Request,Android,2023-10-30
Syncing with Apple Watch works perfectly.,4,Battery drain,Garmin,2023-10-28
The step counter is very motivating.,4,Battery drain,Garmin,2023-10-25
The new dashboard is super accurate.,4,Disappointing,Garmin,2023-10-26
The calorie tracker is confusing.,1,Sync Issue,Garmin,2023-10-18
The step counter works perfectly.,4,Fun rewards,Fitbit,2023-10-28
Heart rate monitor is constantly crashing.,1,Great app,Fitbit,2023-10-28
Pilates workouts is totally broken.,2,Feature Request,Android,2023-10-21
Pilates workouts drains battery fast.,2,Sync Issue,Fitbit,2023-10-22
The step counter drains battery fast.,1,Bug report,Android,2023-10-16
The new dashboard works perfectly.,5,Great app,Android,2023-10-20
The calorie tracker is very motivating.,5,Love the tracking,Apple Watch,2023-10-28
Water logging is constantly crashing.,1,Battery drain,Garmin,2023-10-12
The new dashboard is constantly crashing.,2,Great app,Garmin,2023-10-11
The calorie tracker needs more options.,3,Highly recommend,Android,2023-10-06
The step counter drains battery fast.,2,Love the tracking,Garmin,2023-10-24
Water logging is constantly crashing.,2,Bug report,Garmin,2023-10-25
Pilates workouts fails every morning.,1,Highly recommend,Garmin,2023-10-17
Social challenges needs more options.,2,Bug report,Fitbit,2023-10-14
The new dashboard is super accurate.,5,Fun rewards,Fitbit,2023-10-11
Water logging is my favorite feature.,5,Needs more workouts,iPhone,2023-10-04
Syncing with Apple Watch is confusing.,2,Needs more workouts,iPhone,2023-10-01
The step counter is very motivating.,5,Love the tracking,Fitbit,2023-10-29
Social challenges drains battery fast.,1,Disappointing,Android,2023-10-28
Social challenges is very motivating.,4,Battery drain,Android,2023-10-14
The step counter is super accurate.,4,Needs more workouts,Android,2023-10-21
Sleep tracking is constantly crashing.,2,Disappointing,iPhone,2023-10-07
Heart rate monitor needs more options.,2,Love the tracking,iPhone,2023-10-07
The new dashboard fails every morning.,2,Disappointing,Apple Watch,2023-10-09
GPS tracking fails every morning.,1,Bug report,Garmin,2023-10-13
Pilates workouts is very motivating.,5,Battery drain,Garmin,2023-10-16
The step counter is confusing.,1,Fun rewards,Apple Watch,2023-10-22
Heart rate monitor is confusing.,2,Highly recommend,Fitbit,2023-10-10
