content,score,appVersion,userName
I absolutely love the filters. Outstanding!,5,1.0.0,Verified User
One star because the search function is buggy.,2,1.0.0,Verified User
I absolutely love the navigation. Outstanding!,4,1.0.0,Verified User
Good experience overall. Update process is great.,5,1.0.0,Verified User
Highly recommend. The syncing is excellent.,5,1.0.0,Verified User
Perfect experience overall. Dark mode is great.,4,1.0.0,Verified User
Fantastic experience overall. Filters is great.,5,1.0.0,Verified User
Highly recommend. The onboarding is good.,4,1.0.0,Verified User
Five stars for the UI. It performs perfectly.,4,1.0.0,Verified User
Five stars for the settings. It works perfectly.,4,1.0.0,Verified User
Incredible app! The dashboard works extremely well.,5,1.0.0,Verified User
I hate the login screen. It is absolutely bad.,1,1.0.0,Verified User
I hate the settings. It is really trash.,1,1.0.0,Verified User
I absolutely love the dark mode. Amazing!,4,1.0.0,Verified User
Bad experience. Ui crashes all the time.,2,1.0.0,Verified User
"Not bad, not great. Dashboard is fine.",3,1.0.0,Verified User
Terrible experience. Onboarding crashes all the time.,1,1.0.0,Verified User
I absolutely love the notifications. Superb!,4,1.0.0,Verified User
It's average. The navigation acts okay.,3,1.0.0,Verified User
Brilliant app! The design feels surprisingly well.,4,1.0.0,Verified User
Highly recommend. The navigation is awesome.,4,1.0.0,Verified User
Excellent experience overall. Profile page is great.,5,1.0.0,Verified User
One star because the notifications is slow.,1,1.0.0,Verified User
Excellent app! The update process acts extremely well.,5,1.0.0,Verified User
Highly recommend. The settings is superb.,4,1.0.0,Verified User
I absolutely love the filters. Amazing!,5,1.0.0,Verified User
Excellent app! The onboarding feels quite well.,4,1.0.0,Verified User
I absolutely love the update process. Good!,5,1.0.0,Verified User
I absolutely love the customer support. Superb!,5,1.0.0,Verified User
Excellent experience overall. Filters is great.,5,1.0.0,Verified User
Five stars for the analytics. It seems perfectly.,4,1.0.0,Verified User
Five stars for the onboarding. It operates perfectly.,5,1.0.0,Verified User
Highly recommend. The UI is nice.,4,1.0.0,Verified User
One star because the checkout process is horrible.,1,1.0.0,Verified User
Brilliant app! The profile page feels somewhat well.,5,1.0.0,Verified User
Highly recommend. The dashboard is awesome.,5,1.0.0,Verified User
Nice app! The portfolio tracker looks totally well.,4,1.0.0,Verified User
Superb experience overall. Dashboard is great.,4,1.0.0,Verified User
I hate the analytics. It is extremely bad.,1,1.0.0,Verified User
Average experience. Update process could be better.,3,1.0.0,Verified User
Terrible experience. Settings crashes all the time.,2,1.0.0,Verified User
Frustrating app. The design operates extremely poorly.,1,1.0.0,Verified User
I hate the portfolio tracker. It is very terrible.,1,1.0.0,Verified User
Five stars for the login screen. It looks perfectly.,4,1.0.0,Verified User
Fix the customer support! It acts useless right now.,2,1.0.0,Verified User
"Not bad, not great. Portfolio tracker is fine.",3,1.0.0,Verified User
Outstanding experience overall. Loading speed is great.,5,1.0.0,Verified User
It's passable. The checkout process acts okay.,3,1.0.0,Verified User
Awesome app! The filters seems honestly well.,4,1.0.0,Verified User
I hate the filters. It is quite bad.,1,1.0.0,Verified User
I absolutely love the checkout process. Fantastic!,4,1.0.0,Verified User
Fix the portfolio tracker! It operates clunky right now.,2,1.0.0,Verified User
Five stars for the dashboard. It looks perfectly.,4,1.0.0,Verified User
Awesome experience overall. Portfolio tracker is great.,4,1.0.0,Verified User
I hate the syncing. It is quite slow.,2,1.0.0,Verified User
Highly recommend. The checkout process is superb.,4,1.0.0,Verified User
Highly recommend. The filters is outstanding.,4,1.0.0,Verified User
Clunky experience. Syncing crashes all the time.,1,1.0.0,Verified User
I absolutely love the dark mode. Excellent!,4,1.0.0,Verified User
I hate the settings. It is absolutely annoying.,2,1.0.0,Verified User
Slow app. The update process acts extremely poorly.,1,1.0.0,Verified User
Solid experience overall. Ui is great.,4,1.0.0,Verified User
Highly recommend. The analytics is perfect.,5,1.0.0,Verified User
Useless experience. Syncing crashes all the time.,1,1.0.0,Verified User
Fix the settings! It runs bad right now.,1,1.0.0,Verified User
One star because the portfolio tracker is buggy.,1,1.0.0,Verified User
I hate the dashboard. It is absolutely poor.,2,1.0.0,Verified User
Fantastic experience overall. Analytics is great.,4,1.0.0,Verified User
Highly recommend. The update process is fantastic.,4,1.0.0,Verified User
"Not bad, not great. Loading speed is decent.",3,1.0.0,Verified User
Okay app. The login screen is fine.,3,1.0.0,Verified User
Clunky experience. Navigation crashes all the time.,2,1.0.0,Verified User
Five stars for the update process. It feels perfectly.,5,1.0.0,Verified User
I absolutely love the profile page. Excellent!,5,1.0.0,Verified User
Nice app! The portfolio tracker feels somewhat well.,5,1.0.0,Verified User
Highly recommend. The login screen is incredible.,5,1.0.0,Verified User
Horrible experience. Analytics crashes all the time.,2,1.0.0,Verified User
Incredible experience overall. Settings is great.,4,1.0.0,Verified User
Highly recommend. The customer support is perfect.,5,1.0.0,Verified User
Five stars for the notifications. It seems perfectly.,4,1.0.0,Verified User
Highly recommend. The checkout process is outstanding.,4,1.0.0,Verified User
Incredible app! The profile page looks somewhat well.,5,1.0.0,Verified User
Outstanding experience overall. Loading speed is great.,4,1.0.0,Verified User
Excellent app! The search function operates absolutely well.,5,1.0.0,Verified User
One star because the dashboard is bad.,1,1.0.0,Verified User
Highly recommend. The filters is perfect.,5,1.0.0,Verified User
Fix the portfolio tracker! It looks disappointing right now.,1,1.0.0,Verified User
Buggy app. The payment gateway acts somewhat poorly.,1,1.0.0,Verified User
I hate the login screen. It is honestly trash.,1,1.0.0,Verified User
Poor app. The design works quite poorly.,1,1.0.0,Verified User
Fix the search function! It feels disappointing right now.,1,1.0.0,Verified User
Five stars for the login screen. It seems perfectly.,4,1.0.0,Verified User
Highly recommend. The customer support is nice.,4,1.0.0,Verified User
I absolutely love the onboarding. Perfect!,4,1.0.0,Verified User
It's mediocre. The loading speed performs okay.,3,1.0.0,Verified User
Superb experience overall. Search function is great.,4,1.0.0,Verified User
Fantastic app! The customer support looks absolutely well.,5,1.0.0,Verified User
Five stars for the checkout process. It feels perfectly.,5,1.0.0,Verified User
Three stars. Settings needs work but is fair.,3,1.0.0,Verified User
Good app! The UI acts honestly well.,5,1.0.0,Verified User
Three stars. Update process needs work but is passable.,3,1.0.0,Verified User
Good app! The dark mode looks absolutely well.,4,1.0.0,Verified User
One star because the checkout process is annoying.,1,1.0.0,Verified User
Highly recommend. The notifications is good.,5,1.0.0,Verified User
Five stars for the onboarding. It looks perfectly.,5,1.0.0,Verified User
Five stars for the checkout process. It acts perfectly.,4,1.0.0,Verified User
"Not bad, not great. Search function is average.",3,1.0.0,Verified User
Fantastic app! The payment gateway seems extremely well.,4,1.0.0,Verified User
Excellent app! The profile page operates very well.,4,1.0.0,Verified User
Terrible experience. Syncing crashes all the time.,1,1.0.0,Verified User
Five stars for the search function. It seems perfectly.,4,1.0.0,Verified User
Highly recommend. The portfolio tracker is brilliant.,5,1.0.0,Verified User
Three stars. Customer support needs work but is standard.,3,1.0.0,Verified User
Buggy experience. Notifications crashes all the time.,2,1.0.0,Verified User
Perfect experience overall. Analytics is great.,4,1.0.0,Verified User
Average experience. Portfolio tracker could be better.,3,1.0.0,Verified User
Brilliant experience overall. Analytics is great.,4,1.0.0,Verified User
Good app! The checkout process feels really well.,5,1.0.0,Verified User
Five stars for the profile page. It acts perfectly.,4,1.0.0,Verified User
Useless experience. Checkout process crashes all the time.,2,1.0.0,Verified User
Fix the portfolio tracker! It operates annoying right now.,2,1.0.0,Verified User
Five stars for the customer support. It acts perfectly.,4,1.0.0,Verified User
Mediocre app. The search function is fine.,3,1.0.0,Verified User
Five stars for the payment gateway. It seems perfectly.,5,1.0.0,Verified User
Passable app. The notifications is fine.,3,1.0.0,Verified User
It's mediocre. The filters runs okay.,3,1.0.0,Verified User
I absolutely love the UI. Incredible!,5,1.0.0,Verified User
Useless app. The login screen feels quite poorly.,2,1.0.0,Verified User
"Not bad, not great. Login screen is average.",3,1.0.0,Verified User
It's standard. The profile page looks okay.,3,1.0.0,Verified User
Average experience. Settings could be better.,3,1.0.0,Verified User
Fix the portfolio tracker! It seems buggy right now.,1,1.0.0,Verified User
It's okay. The login screen operates okay.,3,1.0.0,Verified User
Nice experience overall. Update process is great.,5,1.0.0,Verified User
Fix the filters! It feels annoying right now.,1,1.0.0,Verified User
I hate the notifications. It is very slow.,1,1.0.0,Verified User
Passable app. The navigation is fine.,3,1.0.0,Verified User
Slow app. The search function runs quite poorly.,1,1.0.0,Verified User
Highly recommend. The syncing is good.,5,1.0.0,Verified User
Superb app! The UI looks honestly well.,4,1.0.0,Verified User
Okay app. The profile page is fine.,3,1.0.0,Verified User
Five stars for the dark mode. It seems perfectly.,4,1.0.0,Verified User
Average experience. Payment gateway could be better.,3,1.0.0,Verified User
Passable app. The onboarding is fine.,3,1.0.0,Verified User
Awesome experience overall. Profile page is great.,5,1.0.0,Verified User
I absolutely love the login screen. Perfect!,5,1.0.0,Verified User
Good app! The navigation acts incredibly well.,5,1.0.0,Verified User
Five stars for the portfolio tracker. It works perfectly.,4,1.0.0,Verified User
One star because the dark mode is poor.,2,1.0.0,Verified User
One star because the loading speed is terrible.,1,1.0.0,Verified User
Amazing app! The portfolio tracker acts incredibly well.,4,1.0.0,Verified User
Amazing experience overall. Portfolio tracker is great.,5,1.0.0,Verified User
I absolutely love the update process. Nice!,5,1.0.0,Verified User
Highly recommend. The filters is solid.,5,1.0.0,Verified User
Highly recommend. The syncing is perfect.,5,1.0.0,Verified User
Incredible app! The profile page feels surprisingly well.,4,1.0.0,Verified User
