ReviewText,StarRating,User,AppVersion,Headline
The UI is a bit slow.,2,User18,2.1.1,Decent app
The cart crashes.,1,User136,2.0.0,Love it
The search function is smooth.,5,User20,2.0.0,Best Support Ever
Shipping speed is so much faster.,5,User112,2.1.1,Decent app
Customer support hurts my eyes.,3,User103,2.1.1,Love it
Product variety is beautiful.,4,User138,2.0.0,Love it
The new checkout process is so much faster.,4,User123,2.1.0,Terrible
Product variety crashes.,2,User76,2.1.1,Literally Unusable
The UI is so much faster.,4,User137,2.1.1,Ugly UI
The search function is terrible.,1,User59,2.0.5,Decent app
Product variety is so much faster.,5,User69,2.1.0,Great Update
The UI is clunky.,2,User32,2.0.0,Literally Unusable
Customer support is amazing.,5,User50,2.1.0,Decent app
The UI hurts my eyes.,2,User128,2.1.0,Ugly UI
The payment gateway is beautiful.,5,User146,2.0.0,Decent app
The UI is decent.,4,User52,2.1.1,Decent app
Shipping speed is smooth.,4,User37,2.1.1,Terrible
The wish list hurts my eyes.,1,User50,2.0.0,Could be better
The wish list hurts my eyes.,5,User136,2.0.5,Best Support Ever
The new checkout process crashes.,2,User4,2.1.0,Ugly UI
Product variety is so much faster.,5,User40,2.0.0,Literally Unusable
The cart is smooth.,4,User61,2.0.5,Needs work
The dark mode is a bit slow.,1,User82,2.1.0,Ugly UI
Product variety is terrible.,1,User29,2.1.1,Awesome
The new checkout process is clunky.,2,User87,2.1.1,Could be better
Shipping speed is beautiful.,4,User71,2.0.5,Literally Unusable
The dark mode is clunky.,1,User7,2.0.5,Ugly UI
The UI crashes.,2,User106,2.1.0,Awesome
The search function is a bit slow.,1,User23,2.0.0,Great Update
The dark mode is a bit slow.,1,User21,2.0.5,Awesome
The cart crashes.,2,User82,2.1.0,Literally Unusable
The payment gateway crashes.,1,User65,2.1.1,Love it
Product variety is decent.,2,User52,2.0.5,Needs work
The UI is beautiful.,4,User103,2.1.1,Terrible
The UI is amazing.,5,User101,2.0.5,Could be better
Customer support is clunky.,2,User123,2.1.0,Ugly UI
The search function crashes.,2,User69,2.0.0,Decent app
Shipping speed is beautiful.,4,User94,2.1.1,Needs work
Shipping speed is terrible.,1,User105,2.1.1,Love it
The UI is so much faster.,5,User144,2.1.1,Best Support Ever
The dark mode is clunky.,2,User97,2.0.5,Could be better
Shipping speed is terrible.,1,User48,2.1.0,Best Support Ever
The dark mode is beautiful.,4,User16,2.0.0,Love it
The wish list is a bit slow.,2,User73,2.0.0,Awesome
The new checkout process is terrible.,2,User4,2.1.1,Terrible
Shipping speed is smooth.,4,User127,2.0.5,Decent app
Shipping speed is amazing.,5,User37,2.0.5,Literally Unusable
The new checkout process is amazing.,5,User109,2.1.0,Terrible
The cart hurts my eyes.,4,User115,2.0.5,Great Update
Product variety is beautiful.,5,User121,2.1.1,Decent app
The wish list is so much faster.,4,User49,2.0.5,Literally Unusable
The wish list is a bit slow.,2,User123,2.1.0,Literally Unusable
Customer support is clunky.,2,User89,2.1.0,Could be better
