title,text,rating
App crashes on start,I cannot even open the app anymore.,1
Love the dark mode,Dark mode is so good for my eyes at night.,5
Support is fast,I reached out to support and they replied in 5 mins.,4
UI looks bad,The new update ruined the interface. Hard to find things.,3
Too many ads,Ads pop up every 2 seconds.,2
Sync is delayed,Sometimes it takes a while to load my mutual funds.,3
Buggy login,Login just spins and spins. Fix it!,2
Easy to use,Very intuitive for beginners.,4
Great charts,The new candlestick charts are amazing.,5
Lost my money,The transaction failed but money was deducted.,1
Best app ever,"I have been using this for 3 years, flawless.",5
Notification spam,Stop sending me 10 push notifications a day.,2
Hidden fees,They charged me a maintenance fee without telling me.,1
Smooth UI,The animations are buttery smooth now.,5
Battery drain,This app drains my phone battery in 1 hour.,2
Good but needs work,Decent features but the layout is confusing.,3
Portfolio tracking,The portfolio tracker is exactly what I needed.,5
Can't withdraw,Withdrawal button is greyed out. SCAM!,1
Fingerprint login,Love that I can just use my fingerprint to open it.,5
Customer service awful,The chatbot is useless and I can't reach a human.,1
Nice widget,The home screen widget is very convenient.,4
Slow loading,Takes 30 seconds just to load the dashboard.,2
Good educational content,The beginner guides actually helped me learn to invest.,5
App freezes,Freezes whenever I try to search for a stock.,2
Highly recommend,Got all my friends to download this.,5
