title,text,rating
Not bad,The new update works buggy.,1
Love it,Customer support looks smooth...,4
Okay,The widget seems awful right now.,2
Love it,The dark mode feels ugly...,2
Not bad,The app feels ugly so far.,1
Hate it,The syncing is helpful honestly.,5
Smooth,The syncing performs confusing.,1
Love it,This tool looks awful!!,1
Terrible,The syncing seems ugly...,1
Terrible,This tool runs fast honestly.,4
Needs work,The widget acts confusing!,2
Great app,The syncing is fantastic!,4
Hate it,Customer support works beautiful!!,5
Smooth,Customer support feels useless...,2
Not bad,The syncing works horrible.,1
Terrible,Customer support seems beautiful...,5
Okay,The new update seems intuitive...,5
Buggy,The widget performs confusing.,2
Great app,The dark mode looks smooth!!,5
Awesome,The widget looks useless...,1
Hate it,The widget is awful.,1
Love it,The portfolio tracker is beautiful!!,4
Love it,The dark mode works awful...,1
Not bad,The syncing feels slow so far.,1
Great app,The new update is buggy!!,1
Needs work,The syncing performs great!!,5
Smooth,The portfolio tracker looks awful.,2
Buggy,The dark mode is fantastic so far.,4
Terrible,The dark mode seems amazing.,5
Terrible,The syncing performs fantastic!!,5
Okay,This tool runs buggy.,1
Okay,The login screen works awful!!,1
Okay,The syncing feels helpful!,5
Great app,The login screen is terrible.,1
Okay,This tool runs great...,4
Great app,This tool runs horrible right now.,1
Buggy,The UI feels confusing!,1
Love it,The dark mode performs terrible...,1
Awesome,The dark mode performs ugly...,1
Not bad,The syncing works amazing honestly.,4
Great app,The widget looks smooth.,4
Needs work,The portfolio tracker looks awful right now.,2
Great app,The portfolio tracker runs buggy right now.,1
Great app,The syncing looks terrible.,1
Terrible,Customer support acts amazing...,4
Okay,This tool acts helpful honestly.,4
Smooth,This tool feels great!,5
Terrible,This tool looks fantastic.,5
Buggy,The login screen works terrible honestly.,2
Hate it,The syncing is beautiful so far.,4
Needs work,The portfolio tracker acts ugly honestly.,1
Great app,The widget performs amazing!,5
Hate it,The widget feels helpful so far.,5
Okay,The dark mode performs helpful!!,4
Needs work,The dark mode is ugly so far.,1
Great app,This tool is beautiful honestly.,5
Awesome,Customer support looks beautiful right now.,4
Awesome,Customer support performs helpful!!,5
Love it,The app works smooth right now.,5
Terrible,This tool feels intuitive!,4
Great app,The dark mode is ugly!,1
Buggy,This tool seems useless...,2
Needs work,Customer support looks confusing...,1
Awesome,Customer support looks ugly honestly.,2
Love it,Customer support performs fantastic...,5
Great app,The syncing runs awful!,1
Not bad,This tool feels beautiful honestly.,5
Smooth,The new update runs intuitive!,5
Not bad,The syncing works great!!,4
Not bad,The new update performs helpful right now.,5
Great app,The dark mode feels amazing so far.,4
Buggy,The dark mode is awful right now.,2
Awesome,The portfolio tracker is confusing honestly.,1
Great app,This tool is great honestly.,4
Great app,Customer support looks buggy.,2
Terrible,This tool works confusing...,2
Not bad,The dark mode looks confusing right now.,1
Terrible,The dark mode works confusing.,1
Needs work,Customer support seems smooth...,4
Love it,Customer support performs confusing!!,1
Smooth,The new update runs useless.,2
Not bad,The login screen feels useless!,1
Needs work,Customer support acts awful so far.,1
Great app,The syncing performs smooth...,4
Hate it,The dark mode seems beautiful right now.,5
Smooth,This tool acts amazing.,4
Love it,The dark mode runs buggy honestly.,1
Buggy,This tool acts confusing.,1
Terrible,This tool acts confusing so far.,2
Hate it,The widget seems fantastic so far.,4
Okay,The app seems beautiful right now.,4
Hate it,Customer support is fantastic!,4
Smooth,The dark mode seems beautiful.,4
Love it,The UI looks awful!!,2
Terrible,The syncing acts awful right now.,1
Smooth,The widget is fast!!,4
Okay,The dark mode works smooth...,5
Love it,The new update looks terrible so far.,2
Not bad,The dark mode works intuitive honestly.,4
Awesome,The dark mode is intuitive right now.,5
Buggy,The widget seems slow right now.,1
Hate it,The dark mode looks useless!,2
Awesome,The app seems awful...,2
Needs work,Customer support runs slow right now.,2
Not bad,Customer support is slow right now.,2
Smooth,The new update runs fantastic.,4
Smooth,The login screen looks smooth so far.,4
Okay,The new update performs horrible...,2
Terrible,The app seems terrible right now.,2
Needs work,The new update looks amazing right now.,5
Great app,The new update performs horrible.,2
Okay,The app runs fantastic.,4
Buggy,The app seems beautiful so far.,5
Terrible,The login screen feels fast!!,5
Terrible,The widget runs helpful so far.,4
Great app,The login screen seems buggy!,2
Smooth,The portfolio tracker performs smooth!,5
Buggy,The UI is horrible right now.,1
Great app,The app runs great honestly.,5
Terrible,The UI feels horrible right now.,2
Not bad,Customer support runs buggy.,1
Terrible,The dark mode feels great!!,5
Awesome,The syncing performs fast!!,5
Love it,Customer support is confusing honestly.,1
Great app,The syncing feels ugly right now.,1
Buggy,The portfolio tracker looks useless right now.,1
Great app,The login screen seems intuitive so far.,4
Buggy,The UI performs beautiful so far.,5
Hate it,The syncing looks fast so far.,4
Not bad,The UI is horrible...,2
Smooth,The widget acts confusing...,1
Not bad,The dark mode is helpful!,5
Awesome,The UI looks useless so far.,1
Not bad,The app runs useless so far.,1
Okay,The portfolio tracker performs terrible.,2
Okay,The UI runs terrible!!,2
Not bad,The UI seems slow right now.,1
Awesome,The syncing runs great.,5
Smooth,The new update performs confusing!,2
Needs work,The app seems buggy so far.,2
Terrible,The dark mode performs terrible honestly.,1
Not bad,Customer support runs slow right now.,1
Okay,The UI feels confusing...,2
Buggy,Customer support works awful...,1
Awesome,The login screen works terrible...,1
Needs work,The app feels fast.,4
Awesome,The widget feels intuitive!!,4
Hate it,This tool works buggy...,2
Okay,The login screen looks fantastic right now.,4
Buggy,The app seems beautiful right now.,5
Buggy,The app works awful.,2
Not bad,The app is amazing!,4
Love it,The login screen is slow...,1
Needs work,This tool feels great so far.,5
Great app,The syncing is terrible!,1
Needs work,The UI acts horrible!!,1
Needs work,The portfolio tracker feels fast...,5
Terrible,The syncing acts terrible.,1
Awesome,The syncing performs amazing.,5
Smooth,The dark mode runs awful!,2
Buggy,The portfolio tracker feels fantastic!,4
Terrible,The portfolio tracker acts slow right now.,2
Not bad,The syncing works smooth...,4
Awesome,Customer support is intuitive right now.,5
Terrible,The app works fantastic.,5
Love it,The widget feels intuitive!,5
Hate it,The dark mode works useless...,2
Needs work,The new update seems ugly.,1
Not bad,The portfolio tracker works great.,5
Love it,The login screen seems awful so far.,2
Terrible,Customer support performs fast.,5
Terrible,The dark mode runs fast so far.,4
Great app,The app performs confusing!!,1
Great app,The widget works amazing...,5
Buggy,The app feels confusing.,1
Okay,The widget runs smooth honestly.,4
Okay,The widget seems horrible so far.,2
Love it,The UI seems slow...,1
Awesome,The dark mode seems intuitive.,5
Hate it,The dark mode acts amazing right now.,5
Not bad,The syncing works ugly so far.,2
Needs work,This tool feels ugly right now.,1
Great app,The new update looks slow!!,1
Love it,The portfolio tracker seems intuitive...,4
Love it,The login screen performs slow so far.,1
Needs work,The UI runs slow!,1
Hate it,The widget performs terrible honestly.,2
Terrible,The syncing acts fantastic!,5
Not bad,The new update runs amazing honestly.,4
Needs work,The portfolio tracker runs helpful so far.,5
Not bad,The dark mode seems ugly!!,1
Needs work,The syncing runs confusing!!,1
Great app,The login screen feels beautiful right now.,5
Awesome,The widget works amazing...,5
Hate it,The app looks buggy honestly.,2
Okay,The portfolio tracker feels slow so far.,2
Hate it,The portfolio tracker performs useless...,1
Hate it,This tool looks confusing so far.,2
Smooth,The dark mode feels confusing!!,1
Buggy,The UI works beautiful...,4
Smooth,This tool feels horrible.,1
Awesome,The dark mode works confusing!!,2
Not bad,The app feels buggy!,1
Needs work,The login screen is intuitive so far.,4
Needs work,The portfolio tracker runs amazing...,4
Needs work,The dark mode works ugly right now.,1
Hate it,The UI feels awful...,1
Okay,The login screen looks great!,5
Terrible,The new update acts awful so far.,1
Not bad,Customer support runs fast...,5
Hate it,The UI feels intuitive.,5
Hate it,Customer support performs horrible right now.,1
Great app,The dark mode works fast!,5
Okay,The UI looks terrible right now.,2
Awesome,The portfolio tracker is helpful...,4
Needs work,The syncing feels amazing right now.,5
Not bad,The app performs helpful!,4
Needs work,The app seems buggy!!,2
Okay,The login screen performs awful!!,2
Love it,The dark mode works ugly!!,1
Needs work,Customer support is horrible!!,1
Buggy,The dark mode acts helpful!!,4
Love it,The app acts buggy...,1
Great app,The dark mode seems useless honestly.,1
Great app,The portfolio tracker looks confusing so far.,2
Awesome,This tool looks slow!!,2
Not bad,The app seems awful!,1
Needs work,The new update works smooth!,5
Smooth,Customer support is useless...,2
Love it,The widget acts horrible!!,2
Needs work,The UI is awful!!,2
Not bad,This tool is amazing right now.,5
Awesome,The syncing runs horrible!!,2
Hate it,Customer support works slow...,2
Needs work,The app runs intuitive!!,5
Hate it,The widget looks helpful!!,5
Terrible,The widget performs terrible!,1
Needs work,The new update seems fantastic right now.,4
Awesome,The dark mode feels great right now.,5
Great app,The widget acts smooth so far.,4
Love it,Customer support is awful!,1
Great app,The dark mode is amazing!!,5
Awesome,The dark mode performs helpful!,4
Great app,This tool runs awful...,1
Okay,The syncing acts useless!!,2
Hate it,The dark mode works slow...,2
Love it,The dark mode acts useless.,1
Not bad,This tool seems awful...,2
Love it,Customer support feels beautiful so far.,4
Love it,The syncing performs terrible!,2
